user id,origin user id,movie id,origin movie id,score
46,10345879,0,1291557,40.0
153,1127610,0,1291557,50.0
214,1187172,0,1291557,50.0
226,119429128,0,1291557,50.0
251,1205716,0,1291557,50.0
319,1225231,0,1291557,40.0
407,127144959,0,1291557,50.0
575,132630397,0,1291557,20.0
677,136505664,0,1291557,50.0
728,138576790,0,1291557,50.0
763,139406622,0,1291557,50.0
767,139532850,0,1291557,40.0
774,139611792,0,1291557,50.0
960,144445372,0,1291557,40.0
1007,145790989,0,1291557,50.0
1016,146074764,0,1291557,40.0
1080,148179414,0,1291557,40.0
1097,148688551,0,1291557,40.0
1105,148860881,0,1291557,40.0
1120,149131135,0,1291557,50.0
1165,150292300,0,1291557,30.0
1194,151135671,0,1291557,40.0
1216,151769944,0,1291557,40.0
1228,152040248,0,1291557,40.0
1241,152434281,0,1291557,40.0
1251,152762782,0,1291557,50.0
1252,152765160,0,1291557,50.0
1308,153935526,0,1291557,50.0
1310,153950189,0,1291557,50.0
1373,155581753,0,1291557,40.0
1386,155797995,0,1291557,40.0
1391,155840797,0,1291557,30.0
1393,1559092,0,1291557,30.0
1397,155974935,0,1291557,40.0
1399,155986714,0,1291557,40.0
1405,156054692,0,1291557,30.0
1419,156315362,0,1291557,40.0
1420,156316198,0,1291557,50.0
1453,156941004,0,1291557,40.0
1455,156967679,0,1291557,40.0
1466,157237265,0,1291557,50.0
1470,157273071,0,1291557,40.0
1472,157276889,0,1291557,40.0
1474,157294101,0,1291557,50.0
1485,157391509,0,1291557,40.0
1506,158123544,0,1291557,40.0
1547,159192051,0,1291557,40.0
1551,159303018,0,1291557,50.0
1558,159554689,0,1291557,40.0
1590,160754466,0,1291557,40.0
1603,161055826,0,1291557,40.0
1770,168131386,0,1291557,50.0
1785,169089788,0,1291557,40.0
1838,171372928,0,1291557,40.0
1859,172350963,0,1291557,50.0
1922,173674230,0,1291557,50.0
1925,173732164,0,1291557,40.0
2184,1928172,0,1291557,50.0
2187,1938099,0,1291557,40.0
2224,2004744,0,1291557,30.0
2257,2039887,0,1291557,50.0
2263,2049622,0,1291557,40.0
2291,2091994,0,1291557,40.0
2401,2265138,0,1291557,50.0
2502,2434887,0,1291557,50.0
3130,34347136,0,1291557,50.0
3249,35790692,0,1291557,50.0
3304,3657060,0,1291557,40.0
3374,37428082,0,1291557,40.0
3393,37691659,0,1291557,50.0
3423,3807909,0,1291557,40.0
3986,44987965,0,1291557,50.0
4181,4655509,0,1291557,50.0
4323,47662577,0,1291557,40.0
4397,48223884,0,1291557,40.0
4413,48369193,0,1291557,40.0
4524,49213881,0,1291557,40.0
4908,53381748,0,1291557,30.0
4950,53958013,0,1291557,40.0
5496,62675594,0,1291557,30.0
5559,63612050,0,1291557,40.0
5720,66428405,0,1291557,40.0
